Dataset: USA
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[59/100] Train loss: 0.132352, Val composite loss: 0.141834, Val MAE: 1.201576, Val RMSE: 1.648760
[60/100] Train loss: 0.132033, Val composite loss: 0.142057, Val MAE: 1.201275, Val RMSE: 1.653219
[61/100] Train loss: 0.132111, Val composite loss: 0.142414, Val MAE: 1.210300, Val RMSE: 1.650229
[62/100] Train loss: 0.132090, Val composite loss: 0.142450, Val MAE: 1.203490, Val RMSE: 1.660861
[63/100] Train loss: 0.131540, Val composite loss: 0.142250, Val MAE: 1.199654, Val RMSE: 1.657845
[64/100] Train loss: 0.131343, Val composite loss: 0.142627, Val MAE: 1.208390, Val RMSE: 1.658058
[65/100] Train loss: 0.131304, Val composite loss: 0.142373, Val MAE: 1.204165, Val RMSE: 1.653823
[66/100] Train loss: 0.131291, Val composite loss: 0.142416, Val MAE: 1.203765, Val RMSE: 1.655395
[67/100] Train loss: 0.131346, Val composite loss: 0.142646, Val MAE: 1.204460, Val RMSE: 1.658586
[68/100] Train loss: 0.130932, Val composite loss: 0.142405, Val MAE: 1.203140, Val RMSE: 1.655554
Selected epoch: 57
Test MAE: 1.257983
Test RMSE: 1.714909

**------ Seed 2/15 ------**
[1/100] Train loss: 0.169272, Val composite loss: 0.156261, Val MAE: 1.330102, Val RMSE: 1.819008
[2/100] Train loss: 0.149421, Val composite loss: 0.151953, Val MAE: 1.285649, Val RMSE: 1.770703
[3/100] Train loss: 0.145362, Val composite loss: 0.148745, Val MAE: 1.256724, Val RMSE: 1.734793
[4/100] Train loss: 0.143272, Val composite loss: 0.147609, Val MAE: 1.261025, Val RMSE: 1.709159
[5/100] Train loss: 0.142202, Val composite loss: 0.146043, Val MAE: 1.242624, Val RMSE: 1.693326
[6/100] Train loss: 0.141286, Val composite loss: 0.145317, Val MAE: 1.237208, Val RMSE: 1.686104
[7/100] Train loss: 0.140332, Val composite loss: 0.145050, Val MAE: 1.226925, Val RMSE: 1.688061
[8/100] Train loss: 0.139905, Val composite loss: 0.145137, Val MAE: 1.227481, Val RMSE: 1.687675
[9/100] Train loss: 0.139127, Val composite loss: 0.144314, Val MAE: 1.219334, Val RMSE: 1.679345
[10/100] Train loss: 0.138860, Val composite loss: 0.143849, Val MAE: 1.224986, Val RMSE: 1.665236
[11/100] Train loss: 0.138557, Val composite loss: 0.143974, Val MAE: 1.230079, Val RMSE: 1.666950
[12/100] Train loss: 0.138194, Val composite loss: 0.143842, Val MAE: 1.231897, Val RMSE: 1.660142
[13/100] Train loss: 0.137851, Val composite loss: 0.143703, Val MAE: 1.213415, Val RMSE: 1.674147
[14/100] Train loss: 0.137807, Val composite loss: 0.143124, Val MAE: 1.215170, Val RMSE: 1.661330
[15/100] Train loss: 0.137416, Val composite loss: 0.144231, Val MAE: 1.214862, Val RMSE: 1.688083
[16/100] Train loss: 0.137276, Val composite loss: 0.143247, Val MAE: 1.211671, Val RMSE: 1.671734
[17/100] Train loss: 0.137062, Val composite loss: 0.142739, Val MAE: 1.208992, Val RMSE: 1.661399
[18/100] Train loss: 0.136777, Val composite loss: 0.142833, Val MAE: 1.209988, Val RMSE: 1.658839
[19/100] Train loss: 0.136735, Val composite loss: 0.143058, Val MAE: 1.215908, Val RMSE: 1.659238
[20/100] Train loss: 0.136565, Val composite loss: 0.143429, Val MAE: 1.205230, Val RMSE: 1.677169
[21/100] Train loss: 0.136290, Val composite loss: 0.143120, Val MAE: 1.222920, Val RMSE: 1.656272
[22/100] Train loss: 0.136402, Val composite loss: 0.143737, Val MAE: 1.216303, Val RMSE: 1.669525
[23/100] Train loss: 0.135762, Val composite loss: 0.143677, Val MAE: 1.208807, Val RMSE: 1.676750
[24/100] Train loss: 0.135522, Val composite loss: 0.142390, Val MAE: 1.204720, Val RMSE: 1.658074
[25/100] Train loss: 0.135536, Val composite loss: 0.142928, Val MAE: 1.203984, Val RMSE: 1.670432
[26/100] Train loss: 0.135467, Val composite loss: 0.142211, Val MAE: 1.210165, Val RMSE: 1.648527
[27/100] Train loss: 0.135301, Val composite loss: 0.142276, Val MAE: 1.205147, Val RMSE: 1.653038
[28/100] Train loss: 0.135043, Val composite loss: 0.142015, Val MAE: 1.200442, Val RMSE: 1.654077
[29/100] Train loss: 0.134953, Val composite loss: 0.142457, Val MAE: 1.201773, Val RMSE: 1.661597
[30/100] Train loss: 0.134818, Val composite loss: 0.143694, Val MAE: 1.206626, Val RMSE: 1.678213
[31/100] Train loss: 0.134924, Val composite loss: 0.142963, Val MAE: 1.203886, Val RMSE: 1.666139
[32/100] Train loss: 0.134863, Val composite loss: 0.142858, Val MAE: 1.204379, Val RMSE: 1.662476
[33/100] Train loss: 0.134722, Val composite loss: 0.142296, Val MAE: 1.201778, Val RMSE: 1.658959
[34/100] Train loss: 0.134179, Val composite loss: 0.141745, Val MAE: 1.200464, Val RMSE: 1.648657
[35/100] Train loss: 0.134302, Val composite loss: 0.141999, Val MAE: 1.203611, Val RMSE: 1.652065
[36/100] Train loss: 0.134146, Val composite loss: 0.142249, Val MAE: 1.199376, Val RMSE: 1.661658
[37/100] Train loss: 0.134042, Val composite loss: 0.141718, Val MAE: 1.198130, Val RMSE: 1.653567
[38/100] Train loss: 0.133994, Val composite loss: 0.141730, Val MAE: 1.201882, Val RMSE: 1.646627
[39/100] Train loss: 0.133969, Val composite loss: 0.142058, Val MAE: 1.210984, Val RMSE: 1.645153
[40/100] Train loss: 0.133856, Val composite loss: 0.142655, Val MAE: 1.200193, Val RMSE: 1.666227
[41/100] Train loss: 0.133708, Val composite loss: 0.142058, Val MAE: 1.199169, Val RMSE: 1.661554
[42/100] Train loss: 0.133645, Val composite loss: 0.142316, Val MAE: 1.199451, Val RMSE: 1.662735
[43/100] Train loss: 0.133303, Val composite loss: 0.141948, Val MAE: 1.199084, Val RMSE: 1.651885
[44/100] Train loss: 0.133216, Val composite loss: 0.142513, Val MAE: 1.200587, Val RMSE: 1.664132
[45/100] Train loss: 0.133172, Val composite loss: 0.142547, Val MAE: 1.199752, Val RMSE: 1.667921
