Dataset: UK
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[9/100] Train loss: 0.173519, Val composite loss: 0.163429, Val MAE: 2.916284, Val RMSE: 3.822694
[10/100] Train loss: 0.173220, Val composite loss: 0.163606, Val MAE: 2.911057, Val RMSE: 3.846967
[11/100] Train loss: 0.172201, Val composite loss: 0.163320, Val MAE: 2.908813, Val RMSE: 3.836577
[12/100] Train loss: 0.171850, Val composite loss: 0.165317, Val MAE: 2.947556, Val RMSE: 3.879863
[13/100] Train loss: 0.171557, Val composite loss: 0.165201, Val MAE: 2.950668, Val RMSE: 3.856043
[14/100] Train loss: 0.171129, Val composite loss: 0.165300, Val MAE: 2.956933, Val RMSE: 3.889187
[15/100] Train loss: 0.170488, Val composite loss: 0.161878, Val MAE: 2.876033, Val RMSE: 3.809099
[16/100] Train loss: 0.170617, Val composite loss: 0.162769, Val MAE: 2.890862, Val RMSE: 3.834080
[17/100] Train loss: 0.170309, Val composite loss: 0.162356, Val MAE: 2.892995, Val RMSE: 3.809991
[18/100] Train loss: 0.170082, Val composite loss: 0.161549, Val MAE: 2.876168, Val RMSE: 3.790830
[19/100] Train loss: 0.169757, Val composite loss: 0.162964, Val MAE: 2.902026, Val RMSE: 3.822875
[20/100] Train loss: 0.169231, Val composite loss: 0.162257, Val MAE: 2.887343, Val RMSE: 3.811928
[21/100] Train loss: 0.168867, Val composite loss: 0.162470, Val MAE: 2.895154, Val RMSE: 3.801235
[22/100] Train loss: 0.168915, Val composite loss: 0.162003, Val MAE: 2.877159, Val RMSE: 3.810176
[23/100] Train loss: 0.168569, Val composite loss: 0.162146, Val MAE: 2.882905, Val RMSE: 3.825183
[24/100] Train loss: 0.167728, Val composite loss: 0.160943, Val MAE: 2.857912, Val RMSE: 3.794750
[25/100] Train loss: 0.167621, Val composite loss: 0.160385, Val MAE: 2.853034, Val RMSE: 3.772796
[26/100] Train loss: 0.167395, Val composite loss: 0.161014, Val MAE: 2.863373, Val RMSE: 3.779479
[27/100] Train loss: 0.167266, Val composite loss: 0.160371, Val MAE: 2.846445, Val RMSE: 3.786984
[28/100] Train loss: 0.167023, Val composite loss: 0.161290, Val MAE: 2.861043, Val RMSE: 3.798902
[29/100] Train loss: 0.166710, Val composite loss: 0.161023, Val MAE: 2.854213, Val RMSE: 3.793478
[30/100] Train loss: 0.166812, Val composite loss: 0.160803, Val MAE: 2.864609, Val RMSE: 3.776466
[31/100] Train loss: 0.166073, Val composite loss: 0.159408, Val MAE: 2.824851, Val RMSE: 3.759463
[32/100] Train loss: 0.165990, Val composite loss: 0.161488, Val MAE: 2.860712, Val RMSE: 3.811212
[33/100] Train loss: 0.165735, Val composite loss: 0.159762, Val MAE: 2.839243, Val RMSE: 3.756088
[34/100] Train loss: 0.165661, Val composite loss: 0.160187, Val MAE: 2.834930, Val RMSE: 3.788860
[35/100] Train loss: 0.165474, Val composite loss: 0.160593, Val MAE: 2.851044, Val RMSE: 3.778986
[36/100] Train loss: 0.165413, Val composite loss: 0.159913, Val MAE: 2.836689, Val RMSE: 3.772738
[37/100] Train loss: 0.164689, Val composite loss: 0.160070, Val MAE: 2.846836, Val RMSE: 3.764466
[38/100] Train loss: 0.164760, Val composite loss: 0.159804, Val MAE: 2.832765, Val RMSE: 3.769139
[39/100] Train loss: 0.164370, Val composite loss: 0.159299, Val MAE: 2.829339, Val RMSE: 3.753019
[40/100] Train loss: 0.164244, Val composite loss: 0.160023, Val MAE: 2.836257, Val RMSE: 3.771002
[41/100] Train loss: 0.164165, Val composite loss: 0.159382, Val MAE: 2.831399, Val RMSE: 3.747496
[42/100] Train loss: 0.163997, Val composite loss: 0.159564, Val MAE: 2.836009, Val RMSE: 3.754601
[43/100] Train loss: 0.163977, Val composite loss: 0.159684, Val MAE: 2.834982, Val RMSE: 3.760445
[44/100] Train loss: 0.163555, Val composite loss: 0.161120, Val MAE: 2.854188, Val RMSE: 3.800655
[45/100] Train loss: 0.163113, Val composite loss: 0.159760, Val MAE: 2.838366, Val RMSE: 3.762891
[46/100] Train loss: 0.163167, Val composite loss: 0.160227, Val MAE: 2.858749, Val RMSE: 3.758509
[47/100] Train loss: 0.163049, Val composite loss: 0.159830, Val MAE: 2.839966, Val RMSE: 3.761990
[48/100] Train loss: 0.162833, Val composite loss: 0.159944, Val MAE: 2.832868, Val RMSE: 3.781662
[49/100] Train loss: 0.162583, Val composite loss: 0.158993, Val MAE: 2.823323, Val RMSE: 3.745702
[50/100] Train loss: 0.162490, Val composite loss: 0.159608, Val MAE: 2.831594, Val RMSE: 3.767647
